kanji	yomi
原因	げんいん
原案	げんあん
原理	げんり
参加	さんか
参加者	さんかしゃ
友人	ゆうじん
双方向	そうほうこう
反射運動	はんしゃうんどう
反応	はんのう
収益事業	しゅうえきじぎょう
収縮	しゅうしゅく
収集	しゅうしゅう
収集日	しゅうしゅうび
取	と
取得	しゅとく
受	う
受動的	じゅどうてき
受容	じゅよう
受容期	じゅようき
受容過程	じゅようかてい
受検	じゅけん
受給	じゅきゅう
受診	じゅしん
受診時	じゅしんじ
口	くち
口外	こうがい
口腔	こうくう
口腔内	こうくうない
口臭	こうしゅう
口蓋垂	こうがいすい
口頭	こうとう
可能	かのう
台	だい
右側	みぎがわ
右側臥位	みぎそくがい
右手	みぎて
右片麻痺	みぎかたまひ
右肘	みぎひじ
右脚	みぎあし
右足	みぎあし
号被保険者	ごうひほけんしゃ
吃逆	きつぎゃく
合わ	あわ
合格	ごうかく
合理的配慮	ごうりてきはいりょ
同	おな
同僚	どうりょう
同居	どうきょ
同年代	どうねんだい
同意	どうい
同時	どうじ
同等	どうとう
名	めい
名乗	なの
名称	めいしょう
吐	は
向	む
向け	むけ
向上	こうじょう
向精神薬	こうせいしんやく
否定	ひてい
否認	ひにん
含	ふく
吸収	きゅうしゅう
吸引	きゅういん
吸引圧	きゅういんあつ
吸引後	きゅういんご
周	まわ
周囲	しゅうい
周期性四肢運動障害	しゅうきせいししうんどうしょうがい
味	あじ
味付	あじつけ
味覚	みかく
呼	よ
呼吸	こきゅう
呼吸不全	こきゅうふぜん
呼吸中枢	こきゅうちゅうすう
呼吸器官	こきゅうきかん
呼吸困難時	こきゅうこんなんじ
咀嚼	そしゃく
咀嚼機能	そしゃくきのう
和式便器	わしきべんき
咳	せき
咳中枢	せきちゅうすう
咳嗽	がいそう
咳払	せきばらい
咽頭	いんとう
員	いん
唾液	だえき
唾液分泌	だえきぶんぴつ
唾液腺	だえきせん
商品	しょうひん
問	と
問題	もんだい
喀出	かくしゅつ
喀痰吸引	かくたんきゅういん
喉頭	こうとう
喜	よろこ
喪失	そうしつ
喪失感	そうしつかん
喫煙	きつえん
営	いとなみ
嗅神経	きゅうしんけい
嗅細胞	きゅうさいぼう
嗅覚	きゅうかく
嗜好	しこう
嘔気	おうき
器	き
噯気	あいき
嚥下機能	えんげきのう
嚥下障害	えんげしょうがい
回	かい
回以上	かいいじょう
回利用	かいりよう
回復	かいふく
回想法	かいそうほう
回数	かいすう
回転	かいてん
回転移動盤	かいてんいどうばん
因子	いんし
団体交渉権	だんたいこうしょうけん
困	こま
