kanji	yomi
勤務状況	きんむじょうきょう
勧	すす
勧め	すすめ
包	つつ
包丁	ほうちょう
包括	ほうかつ
包摂	ほうせつ
化	か
匹	ひき
区別	くべつ
区画	くかく
医学	いがく
医学的	いがくてき
医師	いし
医師法	いしほう
医療	いりょう
医療保険制度	いりょうほけんせいど
医療機関	いりょうきかん
医療的	いりょうてき
医療職	いりょうしょく
医療費	いりょうひ
医行為	いこうい
十分	じゅうぶん
午前中	ごぜんちゅう
半年前	はんとしまえ
半歩後	はんぽあと
半流動	はんりゅうどう
卒業	そつぎょう
協働	きょうどう
協力	きょうりょく
協議会	きょうぎかい
単位	たんい
占	しめ
印象	いんしょう
危機	きき
厚	あつ
厚生労働省	こうせいろうどうしょう
原則	げんそく
原因	げんいん
原案	げんあん
原理	げんり
参加	さんか
参加者	さんかしゃ
友人	ゆうじん
双方向	そうほうこう
反射運動	はんしゃうんどう
反応	はんのう
反時計回	はんとけいまわ
収益事業	しゅうえきじぎょう
収縮	しゅうしゅく
収集	しゅうしゅう
収集日	しゅうしゅうび
取	と
取得	しゅとく
受	う
受動的	じゅどうてき
受容	じゅよう
受容期	じゅようき
受容過程	じゅようかてい
受検	じゅけん
受給	じゅきゅう
受診	じゅしん
受診時	じゅしんじ
口	くち
口外	こうがい
口腔	こうくう
口腔内	こうくうない
口腔内吸引	こうくうないきゅういん
口腔期	こうくうき
口臭	こうしゅう
口蓋垂	こうがいすい
口頭	こうとう
古	ふる
可能	かのう
可能性	かのうせい
台	だい
右	みぎ
右上肢	みぎじょうし
右下肢	みぎかし
右側	みぎがわ
右側斜	みぎがわななめ
右側臥位	みぎそくがい
右大腿部	みぎだいたいぶ
右手	みぎて
右片麻痺	みぎかたまひ
右肘	みぎひじ
右肩	みぎかた
右肺	うはい
右脚	みぎあし
右袖	みぎそで
右足	みぎあし
号被保険者	ごうひほけんしゃ
吃逆	きつぎゃく
各段階	かくだんかい
合	あ
合わ	あわ
合格	ごうかく
合理的配慮	ごうりてきはいりょ
同	おな
同僚	どうりょう
同居	どうきょ
同居人	どうきょにん
同年代	どうねんだい
同情	どうじょう
同意	どうい
同時	どうじ
同様	どうよう
同等	どうとう
同行援護	どうこうえんご
名	めい
名乗	なの
名前	なまえ
名称	めいしょう
吐	は
向	む
向け	むけ
向上	こうじょう
向精神薬	こうせいしんやく
否定	ひてい
否認	ひにん
否認期	ひにんき
含	ふく
吸	す
吸収	きゅうしゅう
吸引	きゅういん
吸引器	きゅういんき
吸引圧	きゅういんあつ
吸引後	きゅういんご
呈	てい
周	まわ
周囲	しゅうい
周期性四肢運動障害	しゅうきせいししうんどうしょうがい
味	あじ
味付	あじつけ
味覚	みかく
呼	よ
呼吸	こきゅう
呼吸不全	こきゅうふぜん
呼吸中枢	こきゅうちゅうすう
呼吸器官	こきゅうきかん
呼吸回数	こきゅうかいすう
呼吸困難時	こきゅうこんなんじ
咀嚼	そしゃく
咀嚼機能	そしゃくきのう
和式便器	わしきべんき
咲	さ
咳	せき
咳中枢	せきちゅうすう
咳嗽	がいそう
咳払	せきばらい
咽頭	いんとう
咽頭期	いんとうき
員	いん
唾液	だえき
唾液分泌	だえきぶんぴつ
唾液腺	だえきせん
商品	しょうひん
問	と
問題	もんだい
喀出	かくしゅつ
喀痰吸引	かくたんきゅういん
喀痰排出	かくたんはいしゅつ
喉頭	こうとう
喜	よろこ
喪失	そうしつ
喪失感	そうしつかん
喫煙	きつえん
営	いとなみ
嗅神経	きゅうしんけい
嗅細胞	きゅうさいぼう
嗅覚	きゅうかく
嗜好	しこう
嘔気	おうき
器	き
噯気	あいき
噴門	ふんもん
嚥下機能	えんげきのう
嚥下障害	えんげしょうがい
四肢	しし
回	かい
回以上	かいいじょう
回利用	かいりよう
回復	かいふく
回復力	かいふくりょく
回想法	かいそうほう
回数	かいすう
回程度	かいていど
回転	かいてん
回転移動盤	かいてんいどうばん
因子	いんし
団体交渉権	だんたいこうしょうけん
困	こま
困窮者	こんきゅうしゃ
困難	こんなん
図	ず
固定	こてい
固定式歩行器	こていしきほこうき
固形状	こけいじょう
国	くに
国民	こくみん
国民生活基礎調査	こくみんせいかつきそちょうさ
国際	こくさい
国際生活機能分類	こくさいせいかつきのうぶんるい
国際連合	こくさいれんごう
国際障害者年	こくさいしょうがいしゃねん
土足	どそく
圧迫	あっぱく
在宅	ざいたく
在宅復帰	ざいたくふっき
在宅酸素療法中	ざいたくさんそりょうほうちゅう
地域	ちいき
地域住民	ちいきじゅうみん
地域包括支援	ちいきほうかつしえん
地域医療	ちいきいりょう
地域定着支援	ちいきていちゃくしえん
地域密着型	ちいきみっちゃくがた
地域支援事業	ちいきしえんじぎょう
地域活動支援	ちいきかつどうしえん
地域生活支援事業	ちいきせいかつしえんじぎょう
地域移行	ちいきいこう
地域移行支援	ちいきいこうしえん
地域課題	ちいきかだい
地域障害者職業	ちいきしょうがいしゃしょくぎょう
地方	ちほう
地方更生保護委員会	ちほうこうせいほごいいんかい
地震	じしん
坐薬	ざやく
垂直	すいちょく
型	かた
型介護老人福祉施設	がたかいごろうじんふくししせつ
型胃	かたい
型認知症	がたにんちしょう
埃	ほこり
基	もと
基幹	きかん
基幹相談支援	きかんそうだんしえん
基底層	きていそう
基本	きほん
基本姿勢	きほんしせい
